"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
369,17,108,37,14.8,0
369,17,109,37,12.2,0
369,17,110,37,12.3,0
369,17,111,37,12.1,0
369,17,112,37,14.6,0
369,17,201,37,12.4,0
369,17,202,37,12.6,0
369,17,203,37,12.1,0
369,17,204,37,13.5,0
369,17,205,37,13.9,0
369,17,206,37,12.8,0
369,17,207,37,13.6,0
369,17,208,37,12.3,0
369,17,209,37,12.2,0
369,17,210,37,11.1,0
369,17,211,37,11.2,0
369,17,212,37,10.9,0
369,17,301,37,12.8,0
369,17,302,37,12.6,0
369,17,303,37,11.4,0
369,17,304,37,11.5,0
369,17,305,37,11.6,0
369,17,306,37,12.1,0
369,17,307,37,12.2,0
369,17,308,37,11.4,0
369,17,309,37,11.1,0
369,17,310,37,11.2,0
369,17,311,37,10.5,0
369,17,312,37,11.1,0
369,17,313,37,10.2,0
369,17,314,37,11.4,0
369,17,315,37,10.4,0
369,17,316,37,11.4,0
369,17,317,37,11.3,0
369,17,318,37,10.4,0
369,17,401,37,11.6,0
369,17,402,37,13.0,0
369,17,403,37,11.3,0
369,17,404,37,11.5,0
369,17,405,37,11.6,0
369,17,406,37,11.7,0
369,17,407,37,11.1,0
369,17,408,37,10.6,0
369,17,409,37,10.8,0
369,17,410,37,10.4,0
369,17,411,37,10.5,0
369,17,412,37,10.7,0
369,17,413,37,10.1,0
369,17,414,37,9.7,0
369,17,501,37,10.3,0
369,17,502,37,10.1,0
369,17,503,37,9.8,0
370,17,101,37,1.4,0
370,17,102,37,1.8,0
370,17,103,37,1.5,0
370,17,104,37,1.6,0
370,17,105,37,1.8,0
370,17,106,37,1.6,0
370,17,107,37,1.3,0
370,17,108,37,1.5,0
370,17,109,37,1.1,0
370,17,110,37,1.2,0
370,17,111,37,1.1,0
370,17,112,37,1.4,0
370,17,201,37,1.3,0
370,17,202,37,1.5,0
370,17,203,37,1.4,0
370,17,204,37,1.3,0
370,17,205,37,1.5,0
370,17,206,37,1.4,0
370,17,207,37,1.4,0
370,17,208,37,1.1,0
370,17,209,37,1.3,0
370,17,210,37,1.1,0
370,17,211,37,1.2,0
370,17,212,37,1.1,0
370,17,301,37,1.4,0
370,17,302,37,1.3,0
370,17,303,37,1.1,0
370,17,304,37,1.2,0
370,17,305,37,1.0,0
370,17,306,37,1.2,0
370,17,307,37,1.1,0
370,17,308,37,1.2,0
370,17,309,37,1.1,0
370,17,310,37,0.9,0
370,17,311,37,0.9,0
370,17,312,37,1.0,0
370,17,313,37,0.8,0
370,17,314,37,1.0,0
370,17,315,37,0.8,0
370,17,316,37,1.0,0
370,17,317,37,1.0,0
370,17,318,37,0.8,0
370,17,401,37,1.2,0
370,17,402,37,1.3,0
370,17,403,37,1.1,0
370,17,404,37,1.1,0
370,17,405,37,1.1,0
370,17,406,37,1.0,0
370,17,407,37,1.0,0
370,17,408,37,0.9,0
370,17,409,37,0.9,0
370,17,410,37,0.9,0
370,17,411,37,0.9,0
370,17,412,37,1.0,0
370,17,413,37,0.9,0
370,17,414,37,0.8,0
370,17,501,37,0.9,0
370,17,502,37,0.8,0
370,17,503,37,0.8,0
373,17,101,37,1.2,0
373,17,102,37,1.5,0
373,17,103,37,1.1,0
373,17,104,37,1.3,0
373,17,105,37,1.4,0
373,17,106,37,1.2,0
373,17,107,37,1.1,0
373,17,108,37,1.1,0
373,17,109,37,1.0,0
